19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1r04mm9qtlgdmzjx35ax3tvksmdh9vyvxlju4rh/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1r0cvwdwkz24qm390cvdx68uxedt6ua77xfu7x5/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1r0a6pwt3gvlzlfjndmrdsxq9qpycj9zz4x8cjh/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rsfahyntfwn6c00jedm64v6k60jmzhsg07hs3j/by_denom?denom=ubcna"
19-07-2024-10:12,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1rsd5t09h3rhedy465yjz882r666tzcjawjcct3/by_denom?denom=ubcna"
19-07-2024-10:14,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna18s0z4fldnwvcxhj06n2hcwdvdacyedstlqf5f4/by_denom?denom=ubcna"
19-07-2024-10:14,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna183rulc092rh685z9f8e6dp3jnxrvm42s04pe6p/by_denom?denom=ubcna"
19-07-2024-10:14,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna183gjgyuw9lq7dwjnhdxw9mgchrysqee0zu6x2f/by_denom?denom=ubcna"
19-07-2024-12:16,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna12mk9w728zhzvnqm46hhuaul65rtqct8mlhe3t2/by_denom?denom=ubcna"
19-07-2024-12:16,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna12uvzmc965h7cwqu72qgh9njz2m3c5ahlscwrse/by_denom?denom=ubcna"
19-07-2024-12:16,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna12usue8q9w5mmvuteh0k40h0zzutlm9k026ev92/by_denom?denom=ubcna"
19-07-2024-12:18,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1q2unr0g47z2ynca223y9pjxrk8vrczhwgcexjs/by_denom?denom=ubcna"
19-07-2024-12:19,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qegml9h8ysr0lss04v0vgjhdn4lav99suwqhuy/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1q2my5q3tndryqkkd5fn09whclr3zph4kp8wae7/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qt8lsmlj8j9390zs4rsjaft7jvrcmqey7jnh83/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qtdgyku3jsqkclqnp7h9seuthjc23m6fm38w20/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qtnr8xvcrv8daxy32yz2g6v9g69lwlh5e385r8/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qt4jy9v3mhvex4prsnvsef368jymk88my7n39l/by_denom?denom=ubcna"
22-07-2024-16:33,"An error occurred getting the Accounts data https://lcd.bitcanna.io/cosmos/bank/v1beta1/balances/bcna1qteg5c6nrm2g6vjg0kwddesx5pjurnfleclkte/by_denom?denom=ubcna"
